numerator,1
"(14, 26)",11228023971293849730114397435240378703840760740497549984620800*x-25106624852810195330446774295814192144794198136467388245267200
"(14, 28)",-207387416226433712504157561574952457955634587324364078542085500*x+463732360360348699238663445082831272686440603645895050169941000
"(14, 30)",-189030810739694338085998144150001750443017929090808474791980800*x+422685742655853843673883720913779298154363154163753163334419200
"(15, -33)",440786035033728203183228427304253909401671864610480186263442950*x+985627537868020068690676957266949995616880977419376499640463290
"(15, -31)",1539999604735117249160507171139420635297433116137697619600657330*x+3443543801510529183108951917060186425970988621050298024560701794
"(15, -29)",931825535759906631693117425990290352276519663703449467935135360*x+2083625241129312381262672505084210948761870162431593117438795424
"(15, -27)",355116866195964674515605201464837318485651634956414439144146200*x+794065452770874166053431109842850509106347338956428619382052280
"(15, -25)",192198017618070051176154564253057575459830000351211286930411500*x+429767832534706846853530660570730185091797067659408180905874500
"(15, -23)",-130993558895613099618172930219659463766019394311171041092369650*x-292910502305213168869910798202144758533033439011879298720216250
"(15, -21)",-14885483868479900872882282547211056267666504211239871006099000*x-33284953807897597473532078820370151873169849122780191054287400
"(15, -19)",-3137333346139344249236902219081901365610638665261745166145840*x-7015290630044451041378056539749861748688035594781122005572656
"(15, -17)",-80356550118273096337644996387092097987217359939206137876200*x-179682708501819853870598126641754127816936415668714025554840
"(15, -15)",1161004084762369746445308064561651372508016293229390843597750*x+2596084055683013575921221306325186606523758877539929610377750
"(15, -13)",-264177165035076059562425056506592805552509573980273389053500*x-590718099138765631553517261952029421958332466796463689423540
"(15, -11)",1901487364484027363330480721175185627413571934491120873930*x+4251854728007671887315081409848986052879849609878800953954
"(15, -9)",-6126466400165644117047066713451555699552780616172452276500*x-13699195286761150695170592597461386189136627116591577057100
"(15, -7)",1206987409161872581580382405997304333582977451349349163550*x+2698922408847576938920174838558059153978343692214736665430
"(15, -5)",1311709710882273226692234233950697374159611398691312492450*x+2933105750652801579126292444082180636021133505455926166150
"(15, -3)",211162178395590207816631565314250569889462033538283278000*x+468329747573268934209462638764325001992188728866300221680
"(15, -1)",-20022903369711728553566062922638390560310279867150530690*x-67107648220242491988812698146941636024542925960368847166
"(15, 1)",20022903369711728553566062922638390560310279867150530690*x-67107648220242491988812698146941636024542925960368847166
"(15, 3)",-211162178395590207816631565314250569889462033538283278000*x+468329747573268934209462638764325001992188728866300221680
"(15, 5)",-1311709710882273226692234233950697374159611398691312492450*x+2933105750652801579126292444082180636021133505455926166150
"(15, 7)",-1206987409161872581580382405997304333582977451349349163550*x+2698922408847576938920174838558059153978343692214736665430
"(15, 9)",6126466400165644117047066713451555699552780616172452276500*x-13699195286761150695170592597461386189136627116591577057100
"(15, 11)",-1901487364484027363330480721175185627413571934491120873930*x+4251854728007671887315081409848986052879849609878800953954
"(15, 13)",264177165035076059562425056506592805552509573980273389053500*x-590718099138765631553517261952029421958332466796463689423540
"(15, 15)",-1161004084762369746445308064561651372508016293229390843597750*x+2596084055683013575921221306325186606523758877539929610377750
"(15, 17)",80356550118273096337644996387092097987217359939206137876200*x-179682708501819853870598126641754127816936415668714025554840
"(15, 19)",3137333346139344249236902219081901365610638665261745166145840*x-7015290630044451041378056539749861748688035594781122005572656
"(15, 21)",14885483868479900872882282547211056267666504211239871006099000*x-33284953807897597473532078820370151873169849122780191054287400
"(15, 23)",130993558895613099618172930219659463766019394311171041092369650*x-292910502305213168869910798202144758533033439011879298720216250
"(15, 25)",-192198017618070051176154564253057575459830000351211286930411500*x+429767832534706846853530660570730185091797067659408180905874500
"(15, 27)",-355116866195964674515605201464837318485651634956414439144146200*x+794065452770874166053431109842850509106347338956428619382052280
"(15, 29)",-931825535759906631693117425990290352276519663703449467935135360*x+2083625241129312381262672505084210948761870162431593117438795424
"(15, 31)",-1539999604735117249160507171139420635297433116137697619600657330*x+3443543801510529183108951917060186425970988621050298024560701794
"(15, 33)",-440786035033728203183228427304253909401671864610480186263442950*x+985627537868020068690676957266949995616880977419376499640463290
